[代啥(day)	代府鹄(hPa)	キ碑鹄(hPa)	代赋贪鹄(hPa)	代赋贪鹄．啥(LST)	代赋抬C鹄(hPa)	代赋抬C鹄．啥(LST)	鸱(J)	程蔼鸱(J)	程C鸱(J)	SI放(J)	酃锓毛(%)	程p酃锓毛(%)	烦t(m/s)	乏V(360degree)	程j俐丁(m/s)	程j俐丁翻乏V(360degree)	挨舳q(mm)	挨舢杉(hour)	ら酚杉(hour)	ら酚v(%)	ぱ扭楫gq(MJ/T)	`冻q(0~10)	啜＋(km)
ObsTime	StnPres	SeaPres	StnPresMax	StnPresMaxTime	StnPresMin	StnPresMinTime	Temperature	T Max	T Min	Td dew point	RH	RHMin	WS	WD	WSGust	WDGust	Precp	PrecpHour	SunShine	SunshineRate	GloblRad	Cloud Amount	VisbMean
1	1011.3	1014.9	1014.1	2024/12/1 08:58	1008.7	2024/12/1 13:41	20.1	26.6	16.6	14.5	71	48	1.1	180	7.4	340	0	0	8.7	82	14.63	2	52
2	1011.7	1015.2	1013.1	2024/12/2 08:34	1009.6	2024/12/2 14:19	22.3	28.2	16.4	15.6	68	39	2.1	100	7.7	160	0	0	10.3	97.1	15.87	0.8	60
3	1012.8	1016.4	1014.1	2024/12/3 22:28	1011.3	2024/12/3 03:47	22.5	25.3	21.4	16.7	70	59	3.2	100	11.6	80	T	1.2	3.5	33	8.17	5.6	55
4	1014.1	1017.7	1015.8	2024/12/4 08:02	1012.4	2024/12/4 13:22	21.2	23.7	20.2	14.3	65	54	3.3	100	13.7	90	0	0	2.1	19.8	9.38	7.2	34.8
5	1013.7	1017.3	1015.2	2024/12/5 08:52	1011.8	2024/12/5 14:25	20.6	22.2	19.6	14.8	70	60	3.1	100	12.4	100	0	0	4	37.8	9.39	5.8	42
6	1013.7	1017.2	1015	2024/12/6 22:17	1011.2	2024/12/6 13:51	21	24.1	18.9	15.7	72	62	3	100	12.4	80	0	0	7.3	69	14.3	3.6	54
7	1015.6	1019.2	1018.3	2024/12/7 22:46	1013.1	2024/12/7 13:20	19.9	21	18	16.2	79	72	2.7	100	10.9	110	T	2.1	0.1	0.9	4.79	9.6	11.8
8	1019.7	1023.4	1021.3	2024/12/8 09:04	1018.1	2024/12/8 00:01	16.2	18	15.1	12.8	80	73	2.7	100	11.5	100	T	3.7	0	0	1.79	9.8	23
9	1017.1	1020.8	1019.6	2024/12/9 07:23	1014.3	2024/12/9 14:53	18.1	20.3	15.2	13	72	62	2.9	110	11.6	80	T	0.5	2.4	22.7	9.56	6.8	49
10	1014.1	1017.7	1016	2024/12/10 09:36	1012.4	2024/12/10 15:00	19	21.3	17.7	16.7	87	75	3.3	100	11.4	110	T	2.4	1	9.5	8.71	8	41
11	1014.1	1017.7	1016.2	2024/12/11 23:38	1012	2024/12/11 13:35	19.6	23.4	17	16.3	81	70	1.7	100	8.7	100	0	0	2.6	24.6	7.55	8.4	27.2
12	1016.3	1019.9	1019.1	2024/12/12 08:37	1014.3	2024/12/12 15:41	18.3	19	17.4	14.9	81	74	2.3	100	10.2	130	T	2	0	0	3.69	9.4	24
13	1017.5	1021.2	1021.7	2024/12/13 23:59	1015	2024/12/13 03:48	17.8	19.2	15.2	14.4	81	69	1.6	100	8.6	40	T	3.4	0	0	2.17	9.8	27
14	1023.5	1027.2	1025.8	2024/12/14 09:08	1021.6	2024/12/14 00:02	14	15.2	13.5	8.4	69	63	1.9	60	7.7	40	T	3.7	0	0	0.98	10	8.8
15	1022.5	1026.2	1024.2	2024/12/15 08:32	1020.9	2024/12/15 14:29	14.5	15	13.8	7.8	64	60	2.2	100	9.7	90	0	0	0	0	2.3	10	13
16	1020.2	1023.9	1021.9	2024/12/16 00:41	1018.5	2024/12/16 15:12	15.3	16.4	14.4	8.7	65	58	2.9	100	10.8	100	0	0	0	0	5.2	9.2	38
17	1018.3	1021.9	1019.7	2024/12/17 08:00	1016	2024/12/17 13:33	17.1	19.6	15.3	12.1	73	62	3.5	100	13.3	90	0	0	4.1	38.9	10.33	8	37
18	1020.7	1024.4	1023.4	2024/12/18 20:35	1018.3	2024/12/18 00:01	15.7	16.8	14.2	7.8	60	46	2.3	80	10.8	100	T	0.3	0	0	2.82	10	30.2
19	1020.5	1024.2	1023.3	2024/12/19 08:56	1017.5	2024/12/19 23:55	13.5	14.2	12.7	9	76	51	2.1	120	11	90	2.5	10.8	0	0	2.17	10	23.2
20	1016.4	1020	1018.7	2024/12/20 09:07	1014	2024/12/20 15:02	15.5	17.8	13.1	14	91	77	1.7	120	9	90	0.5	3.9	0.1	1	5.45	10	28.6
